title,src,url,description,tags
Wearable hydration tracking,images/projects/wearable-hydration-gemini.png,projects/wearable-hydration/,Developing a wrist-band for non-invasive and real-time hydration tracking. This is a continuation of my 2nd Masters.,Wearables; AI; Health
Hajj pilgrims monitoring from wearable data,images/projects/hajj-wearable.png,https://pmc.ncbi.nlm.nih.gov/articles/PMC12150694/,"Here we used data collected from different wearable sensors and explored the possibility to predict multiple health contexts, including physical tiredness, emotional mood, and activity type. ",Wearables; AI; Health
Early detection of COVID-19 using wearable data,images/projects/covid.png,projects/wearable-covid-19/,Using consumer wearables to predict COVID-19 before symptoms appear.,Wearables; AI; COVID
RNA Splicing Analysis Pipeline for Infection-Stage Transcriptomics,images/projects/splicing.png,https://github.com/NazimBL/splicing-analysis-pipeline,A Modular RNA-seq Alternative Splicing Pipeline.,rna-seq;
MotifXplorer,images/projects/motif-xplorer.png,projects/motif-xplorer,MotifXplorer is a package and web platform for ML-based transcription factor binding prediction and motif exploration from ChIP-seq.,Genomics; AI
Interpretable Machine Learning for cfDNA Cancer Screening,images/projects/cfDNA.png,https://github.com/NazimBL/cfDNA-cancer-screening-ML,A machine learning pipeline used to identify cancer-specific chromatin features from cell-free DNA (cfDNA),Genomics; AI
Spectral Diffusion Lab,images/projects/spectral-diffusion.png,https://github.com/NazimBL/SpectralDiffusionLab,Generating synthetic spectroscopy data with Diffusion Models to improve early Cancer screening.,Spectroscopy; Gen AI
Portable Brain-Computer Interface (BCI),images/projects/bci_gemini.png,projects/muse-bci/,"Prototype for a low-cost, portable EEG-based system controlling a robotic arm. ",BCI;EEG
Immersive VR Rehab for Multiple Sclerosis,images/projects/vr-ms.png,projects/vr-ms/,Concept and research plan for bimanual Virtual Reality rehabilitation in Multiple Sclerosis.,VR; Multiple Sclerosis;
Edge-AI Development Board for Healthcare Applications,images/projects/ehealth-ai.png,https://www.youtube.com/watch?v=RVEhRR9OMW8,"Build on my previous IoT Development-Board, this describes an all-in-one medical sensor board for Edge AI research and prototyping.",Edge AI; Health
IoT Development Board,images/projects/iot-dev-board.png,https://www.linkedin.com/feed/update/urn:li:activity:6821393409236844544/,"An ESP32-based IoT development board featuring 4 opto-isolated relays, Wi-Fi/Bluetooth connectivity, and built-in USB-UART for easy programming. Designed and sold for academic and industrial use.",IoT
Low-cost Phasor Measurment Unit (PMU),images/projects/pmu.png,https://github.com/NazimBL/Phasor-Measurment-Unit-PMU,My good old first Master's project : Here I describe the firmware and software implementation of a Low-Cost M-Class Phasor Measurement Unit (PMU).,Energy; EE
Weka activity detection,images/projects/weka.png,https://github.com/NazimBL/WekaActivityRecognition,A mobile app that helps building and deploying Activity Recognition models directly on your Smartphone.,Android; AI
Machine Learning for Voltammetric Trace-Lead Sensing,images/projects/lead.png,https://github.com/NazimBL/voltammetric-lead-sensing/tree/main,ML pipelines for quantifying trace lead from portable voltammetric sensors under realistic field conditions,Voltammetric signal processing;ML
