title,src,url,description,tags
Wearable hydration tracking,images/hex/logitr.png,projects/wearable-hydration/,Smartwatch prototype for real-time hydration monitoring.,Wearables; AI; Health
Hajj pilgrims monitoring from wearable data,images/hex/cbcTools.png,https://pmc.ncbi.nlm.nih.gov/articles/PMC12150694/,R package with tools for designing choice based conjoint (cbc) survey experiments and conducting power analyses.,R; Software
Covid-19 early detection,images/hex/surveydown.png,https://surveydown.org/,R package for generating markdown-based surveys using Quarto shiny documents.,R; Software
RNA-seq splicing analysis pipeline,images/wireless_corne.jpeg,https://github.com/jhelvy/wireless-corne/,Build log and gallery of how I built my wireless Corne keyboard.,Keyboards
MotifXplorer,images/hex/distillery.png,https://distillery.rbind.io/,Distill website showcasing other distill websites and blogs.,R; Community
Spectral Diffusion Lab CDM,images/hex/oica.png,https://jhelvy.github.io/oica/,R data package with tidy formatted data on vehicle production and sales from the International Organization of Motor Vehicle Manufacturers.,R; Software
NSF water contamination,images/magaScreener.png,https://jhelvy.github.io/magaScreener/,"Tool for analyzing documents for specific MAGA-targeted keywords, intended to be used to help identify words that might get screened by the federal government.",
Weka activity detection,images/hex/renderthis.png,https://jhelvy.github.io/renderthis/,"R package for rendering slides and other media into different formats, including html, pdf, png, gif, pptx, and mp4.",R; Software
BCI,images/hex/bci_gemini.png,https://www.jhelvy.com/charts,Prototype for an EEG-based brain computer interface system controlling a robotic arm.,BCI
VR Rehab,images/gwcoders.png,https://gwcoders.github.io/,Study group that brings together students and faculty to apply computational and data analytics skills in research.,Community
Deadline IoT BlackBoard,images/hex/deadline_Iot_BB.png,https://www.linkedin.com/feed/update/urn:li:activity:6821393409236844544/,"An ESP32-based IoT development board featuring 4 opto-isolated relays, Wi-Fi/Bluetooth connectivity, and built-in USB-UART for easy programming. Designed and sold for academic and industrial use.",IoT
Programming for Analytics in R,images/hex/p4a.png,https://p4a.jhelvy.com,Open source text book on the fundamentals of programming and working with data in R.,R; Education
formr4conjoint,images/formr4conjoint.png,https://github.com/jhelvy/formr4conjoint/,Template for how to create a choice-based conjoint survey using the formr survey platform.,R; Education
Iris Rev 2,images/iris_rev2.jpg,https://github.com/jhelvy/iris-rev2/,Build log and gallery of how I built my Iris Rev 2 keyboard.,Keyboards
